id,mode,siglum,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
chant_000574,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,67.0,69.0,67.0,69.0,67.0,67.0,67.0,71.0,72.0,74.0,74.0,72,72,72
chant_000766,6,NL-Uu 406,,,,,,,,,69.0,69.0,65.0,67.0,69,67,65,65.0,67.0,67.0,65.0,67.0,67.0,69.0,65.0,65.0,67.0,65.0,65.0,65,65,70
chant_000787,2,F-Pn lat. 15181,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,62.0,62.0,65.0,64.0,65,67,67
chant_000813,2,A-Wn 1799**,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,62.0,62.0,65.0,64.0,65,67,67
chant_000816,2,F-Pn lat. 12044,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,65.0,62.0,64.0,65.0,67,69,67
chant_000825,2,D-KNd 1161,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,62.0,62.0,65.0,64.0,65,67,67
chant_000831,2,CH-E 611,,,,,,,,,65.0,65.0,65.0,64.0,60,62,62,62.0,64.0,65.0,67.0,67.0,65.0,65.0,64.0,62.0,62.0,65.0,64.0,65,67,67
chant_000849,1,CH-Fco 2,,,,,,,,69.0,69.0,67.0,65.0,67.0,69,67,65,62.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,62.0,62.0,60.0,65.0,67,69,67
chant_000851,2,CDN-Hsmu M2149.L4,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,64.0,65.0,67.0,67.0,64.0,65.0,64.0,62.0,62.0,65.0,64.0,65,67,67
chant_001279,1,CH-E 611,,,,,,,,69.0,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,60.0,65.0,67.0,65.0,69.0,69.0,70.0,69.0,67.0,67.0,65,67,69
chant_001302,2,CH-Fco 2,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,65.0,64.0,65.0,62.0,60.0,65.0,67.0,67.0,65.0,64.0,62.0,65,67,69
chant_001576,2,CDN-Hsmu M2149.L4,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,60.0,62.0,65.0,64.0,62.0,65.0,62.0,60.0,65.0,64.0,65.0,67,65,64
chant_001611,2,A-Wn 1799**,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,60.0,62.0,65.0,64.0,62.0,65.0,62.0,60.0,65.0,64.0,65.0,67,65,64
chant_001621,2,CH-Fco 2,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,60.0,62.0,65.0,64.0,62.0,65.0,64.0,62.0,60.0,65.0,67.0,69,67,65
chant_001633,2,F-Pn lat. 12044,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,60.0,62.0,65.0,64.0,60.0,64.0,62.0,65.0,67.0,69.0,67.0,69,67,65
chant_001657,2,D-KNd 1161,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,60.0,62.0,65.0,64.0,62.0,65.0,62.0,60.0,65.0,64.0,65.0,67,65,64
chant_001796,2,CH-E 611,,,,,,,,,65.0,65.0,65.0,64.0,60,62,62,65.0,65.0,65.0,64.0,62.0,62.0,60.0,62.0,65.0,65.0,65.0,67.0,65,65,65
chant_002556,4,CH-Fco 2,,,,,,,,,,69.0,67.0,69.0,71,67,64,64.0,62.0,64.0,67.0,69.0,69.0,69.0,67.0,69.0,71.0,67.0,69.0,69,64,69
chant_002758,2,CH-E 611,,,,,,,,,,65.0,65.0,65.0,64,60,62,65.0,65.0,65.0,64.0,62.0,65.0,65.0,65.0,64.0,62.0,62.0,60.0,62,65,64
chant_002786,2,F-Pn lat. 12044,,,,,,,,,,65.0,65.0,65.0,64,60,62,65.0,65.0,65.0,64.0,62.0,65.0,65.0,65.0,64.0,62.0,62.0,60.0,62,65,65
chant_002833,4,CH-E 611,,,,,,,,,,69.0,67.0,69.0,71,67,64,,64.0,67.0,67.0,69.0,71.0,69.0,69.0,67.0,65.0,67.0,69.0,67,65,64
chant_002862,4,F-Pn lat. 12044,,,,,,,,,,69.0,69.0,69.0,69,69,67,67.0,67.0,67.0,67.0,69.0,71.0,69.0,69.0,69.0,67.0,65.0,67.0,67,69,67
chant_002863,4,CH-Fco 2,,,,,,,,,,69.0,69.0,69.0,69,69,67,64.0,67.0,67.0,69.0,71.0,69.0,69.0,69.0,67.0,65.0,67.0,67.0,69,67,65
chant_002869,4,D-KNd 1161,,,,,,,,,,69.0,67.0,69.0,71,67,69,64.0,67.0,67.0,69.0,71.0,69.0,69.0,67.0,65.0,67.0,67.0,69.0,67,65,64
chant_003017,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,67.0,67.0,69.0,69.0,67.0,67.0,65.0,69.0,72.0,71.0,72,72,69
chant_003029,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,67.0,67.0,69.0,69.0,67.0,67.0,65.0,69.0,72.0,71.0,72,69,71
chant_003071,1,F-Pn lat. 12044,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,70.0,69.0,67,67,69
chant_003120,1,CH-Fco 2,,,,,,,,,69.0,69.0,67.0,67.0,69,67,65,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,70.0,69.0,67,67,69
chant_003305,1,F-Pn lat. 12044,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,69.0,69.0,67,69,64
chant_003307,1,D-KNd 1161,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,69.0,67.0,67,65,67
chant_003718,8,D-KNd 1161,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,65.0,65.0,67.0,67.0,69.0,67.0,65.0,65.0,69.0,72.0,72.0,69,72,74
chant_003738,8,A-Wn 1799**,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,65.0,65.0,67.0,67.0,69.0,67.0,65.0,65.0,69.0,72.0,72.0,69,72,74
chant_003755,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,67.0,65.0,65.0,67.0,67.0,69.0,67.0,65.0,65.0,69.0,72.0,72,69,72
chant_003771,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,69.0,65.0,67.0,67.0,69.0,67.0,65.0,69.0,72.0,72.0,69.0,72,74,76
chant_003774,8,CH-E 611,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,64.0,65.0,67.0,67.0,69.0,67.0,67.0,65.0,69.0,72.0,72.0,71,72,74
chant_003790,8,CDN-Hsmu M2149.L4,,,,,,,,,,72.0,72.0,71.0,72,69,67,69.0,65.0,65.0,67.0,67.0,69.0,67.0,65.0,65.0,69.0,72.0,72.0,69,72,74
chant_003852,1,NL-Uu 406,,,,,69.0,69.0,69.0,67.0,67.0,65.0,67.0,69.0,67,65,62,60.0,60.0,62.0,62.0,62.0,65.0,65.0,64.0,62.0,65.0,62.0,60.0,62,60,65
chant_003893,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,62.0,62.0,60.0,62.0,64.0,65.0,64.0,62.0,62.0,60.0,65.0,67.0,69,70,69
chant_004034,2,CDN-Hsmu M2149.L4,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,62.0,65.0,65.0,64.0,65.0,67.0,65.0,64.0,62.0,62.0,65.0,62,62,60
chant_004035,2,CH-E 611,,,,,,,,,65.0,65.0,65.0,64.0,60,62,62,62.0,64.0,65.0,67.0,67.0,64.0,67.0,69.0,65.0,62.0,62.0,62.0,65,62,62
chant_004039,2,D-KNd 1161,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,62.0,65.0,65.0,64.0,65.0,67.0,65.0,64.0,62.0,62.0,65.0,62,62,60
chant_004053,2,CH-Fco 2,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,62.0,65.0,64.0,67.0,69.0,65.0,64.0,62.0,62.0,65.0,62.0,62,60,65
chant_004055,2,F-Pn lat. 12044,,,,,,,,,,65.0,65.0,65.0,64,60,62,62.0,64.0,65.0,67.0,67.0,64.0,67.0,69.0,65.0,64.0,62.0,62.0,65,62,62
chant_004056,2,A-Wn 1799**,,,,,,,,,,65.0,65.0,65.0,64,60,62,60.0,62.0,65.0,65.0,64.0,67.0,69.0,65.0,64.0,62.0,62.0,65.0,62,62,60
chant_004418,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,72.0,69.0,67.0,69.0,67.0,65.0,64.0,65.0,67.0,67.0,69,67,67
chant_004453,7,CH-Fco 2,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,67.0,72.0,72.0,71.0,72.0,74.0,72.0,69.0,72.0,71.0,69.0,67,67,69
