contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-alleluias-00001,00001,0,18,18.0,62,62,62,60,60,60,60,60,60,64,64,67,67,67,65,65,65,64,64,64,60,60,62,62,62,62,62,62,60,60,65,65,65,67,67,67,69,69,69,67,67,65,65,65,67,67,67,67,67,67
liber-alleluias-00002,00001,1,17,17.0,69,69,69,67,67,67,69,69,69,67,67,67,65,65,65,67,67,67,65,65,65,67,67,67,65,65,62,62,62,65,65,65,65,65,65,62,62,62,64,64,64,62,62,62,64,64,64,60,60,60
liber-alleluias-00003,00001,2,19,19.0,64,64,64,67,67,67,67,67,69,69,69,67,67,65,65,65,67,67,67,65,65,64,64,64,65,65,65,65,65,62,62,64,64,64,62,62,62,60,60,62,62,62,64,64,65,65,65,62,62,62
liber-alleluias-00004,00001,3,18,18.0,69,69,69,67,67,67,69,69,69,67,67,64,64,64,65,65,65,64,64,64,65,65,67,67,67,67,67,67,65,65,64,64,64,60,60,60,62,62,62,64,64,62,62,62,60,60,60,62,62,62
liber-alleluias-00005,00001,4,18,18.0,62,62,62,62,62,62,65,65,65,65,65,64,64,64,67,67,67,67,67,67,69,69,65,65,65,64,64,64,62,62,60,60,60,62,62,62,62,62,62,64,64,65,65,65,62,62,62,62,62,62
liber-alleluias-00006,00001,5,19,19.0,62,62,62,64,64,64,67,67,69,69,69,67,67,69,69,69,69,69,69,71,71,72,72,72,74,74,71,71,71,72,72,69,69,69,67,67,67,69,69,71,71,71,72,72,69,69,69,69,69,69
liber-alleluias-00007,00001,6,14,14.0,69,69,69,69,67,67,67,69,69,69,69,67,67,67,65,65,65,65,65,65,65,64,64,64,64,62,62,62,60,60,60,60,62,62,62,64,64,64,64,65,65,65,62,62,62,62,62,62,62,62
liber-alleluias-00008,00001,7,9,9.0,62,62,62,62,62,62,64,64,64,64,64,67,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69
liber-alleluias-00009,00001,8,13,13.0,69,69,69,69,71,71,71,71,72,72,72,72,74,74,74,74,71,71,71,72,72,72,72,69,69,69,69,67,67,67,67,69,69,69,71,71,71,71,72,72,72,72,69,69,69,69,69,69,69,69
liber-alleluias-00012,00032,0,13,13.0,67,67,67,67,69,69,69,69,67,67,67,67,67,67,67,67,72,72,72,71,71,71,71,72,72,72,72,74,74,74,74,72,72,72,71,71,71,71,69,69,69,69,69,69,69,69,67,67,67,67
liber-alleluias-00013,00032,1,12,12.0,67,67,67,67,67,72,72,72,72,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,76,74,74,74,74,71,71,71,71,74,74,74,74,72,72,72,72,69,69,69,69,67,67,67,67,67
liber-alleluias-00014,00032,2,19,19.0,67,67,67,72,72,72,74,74,76,76,76,76,76,76,76,76,74,74,74,71,71,74,74,74,72,72,69,69,69,67,67,69,69,69,72,72,72,69,69,71,71,71,69,69,69,69,69,67,67,67
liber-alleluias-00015,00032,3,23,23.0,67,67,67,69,69,67,67,67,67,72,72,71,71,72,72,74,74,74,72,72,71,71,69,69,69,69,67,67,71,71,71,71,69,69,69,71,71,72,72,71,71,71,71,69,69,67,67,67,67,67
