contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-antiphons-00002,00030,1,10,10.0,60,60,60,60,60,64,64,64,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,64,64,64,64,64
liber-antiphons-00003,00030,2,9,9.0,60,60,60,60,60,60,64,64,64,64,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,62,65,65,65,65,65,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,62
liber-antiphons-00005,00030,4,16,16.0,60,60,60,60,62,62,62,60,60,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,65,65,65,67,67,67,67,67,67,65,65,65,67,67,67,65,65,65,65,65,65,65
liber-antiphons-00006,00030,5,18,18.0,65,65,65,62,62,62,62,62,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,65,65,62,62,62,65,65,65,64,64,64,60,60,62,62,62,64,64,64,62,62,62
liber-antiphons-00007,00030,6,7,7.0,60,60,60,60,60,60,60,62,62,62,62,62,62,62,60,60,60,60,60,60,60,60,60,60,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
liber-antiphons-00009,00046,0,8,8.0,65,65,65,65,65,65,65,64,64,64,64,64,64,62,62,62,62,62,62,64,64,64,64,64,64,65,65,65,65,65,65,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,62,62,62
liber-antiphons-00010,00046,1,22,22.0,57,57,57,60,60,62,62,62,62,65,65,65,65,65,64,64,62,62,64,64,64,64,64,67,67,67,67,64,64,65,65,65,65,65,62,62,64,64,65,65,65,62,62,60,60,62,62,64,64,64
liber-antiphons-00011,00046,2,23,23.0,65,65,65,64,64,62,62,65,65,65,65,67,67,65,65,62,62,62,60,60,64,64,64,64,67,67,67,67,64,64,65,65,65,65,65,62,62,64,64,65,65,62,62,60,60,62,62,64,64,64
liber-antiphons-00012,00046,3,12,12.0,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,67,67,67,67,64,64,64,64,62,62,62,62,65,65,65,65,65,65,65,65,67,67,67,67,62,62,62,62,64,64,64,64,64
liber-antiphons-00014,00046,5,12,12.0,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,64,65,65,65,65,65,65,65,65,64,64,64,64,62,62,62,62,64,64,64,64,64,64,64,64,64
