contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-communions-00001,00006,0,13,13.0,72,72,72,72,76,76,76,76,74,74,74,74,76,76,76,76,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,69,69,69,72,72,72,72,72,72,72,72,69,69,69,69,72,72,72,72
liber-communions-00002,00006,1,14,14.0,69,69,69,69,69,69,69,76,76,76,76,76,76,76,74,74,74,74,76,76,76,72,72,72,72,72,72,72,69,69,69,69,72,72,72,76,76,76,76,74,74,74,72,72,72,72,71,71,71,71
liber-communions-00003,00006,2,17,17.0,72,72,72,72,72,72,74,74,74,72,72,72,72,72,72,71,71,71,72,72,72,71,71,71,69,69,67,67,67,69,69,69,67,67,67,72,72,72,71,71,71,72,72,72,71,71,71,71,71,71
liber-communions-00004,00006,3,24,24.0,71,71,71,67,67,69,69,71,71,71,71,67,67,69,69,72,72,72,72,74,74,76,76,74,74,72,72,72,72,71,71,67,67,69,69,67,67,72,72,71,71,72,72,72,72,71,71,71,71,71
liber-communions-00005,00006,4,21,21.0,71,71,71,71,71,69,69,67,67,67,69,69,65,65,65,65,65,65,65,62,62,65,65,65,67,67,69,69,67,67,67,69,69,67,67,64,64,64,67,67,65,65,65,65,65,65,65,64,64,64
liber-communions-00006,00006,5,18,18.0,65,65,65,65,65,65,65,65,65,62,62,67,67,67,65,65,65,64,64,64,65,65,67,67,67,69,69,69,67,67,69,69,69,64,64,64,67,67,67,65,65,65,65,65,65,65,65,64,64,64
liber-communions-00007,00008,0,7,7.0,65,65,65,65,65,65,65,67,67,67,67,67,67,67,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67
liber-communions-00008,00008,1,10,10.0,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67,62,62,62,62,62
liber-communions-00009,00008,2,9,9.0,62,62,62,62,62,62,67,67,67,67,67,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,64,64,64,64,64,65,65,65,65,65,65,62,62,62,62,62,62,62,62,62,62,62
liber-communions-00010,00008,3,15,15.0,67,67,67,67,65,65,65,67,67,67,65,65,65,65,65,65,65,67,67,67,69,69,69,72,72,72,72,71,71,71,72,72,72,72,72,72,69,69,69,69,71,71,71,67,67,67,67,67,67,67
liber-communions-00011,00008,4,12,12.0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,71,71,71,71,72,72,72,72,74,74,74,74,72,72,72,72,71,71,71,71,67,67,67,67,67
liber-communions-00012,00008,5,22,22.0,67,67,67,67,67,67,67,69,69,67,67,67,67,67,69,69,72,72,71,71,71,71,71,69,69,72,72,74,74,72,72,72,69,69,69,69,69,69,67,67,67,70,70,69,69,65,65,65,65,65
liber-communions-00013,00008,6,14,14.0,67,67,67,67,69,69,69,67,67,67,67,67,67,67,67,67,67,67,69,69,69,71,71,71,71,72,72,72,72,72,72,72,74,74,74,72,72,72,72,69,69,69,67,67,67,67,67,67,67,67
liber-communions-00014,00008,7,19,19.0,67,67,67,65,65,65,65,65,67,67,67,65,65,67,67,67,62,62,62,62,62,65,65,65,64,64,65,65,65,67,67,67,67,67,64,64,64,65,65,62,62,62,60,60,62,62,62,62,62,62
liber-communions-00015,00008,8,21,21.0,67,67,67,65,65,67,67,67,67,67,69,69,67,67,67,67,67,65,65,65,65,69,69,69,72,72,67,67,67,67,67,65,65,65,65,69,69,69,72,72,69,69,71,71,71,67,67,67,67,67
liber-communions-00016,00008,9,8,8.0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,65,67,67,67,67,67,67,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67
liber-communions-00017,00028,0,6,6.0,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,62,62,62,62,62,62,62,62,64,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62
liber-communions-00018,00028,1,8,8.0,62,62,62,62,62,62,62,62,62,62,62,62,62,60,60,60,60,60,60,65,65,65,65,65,65,67,67,67,67,67,67,65,65,65,65,65,65,69,69,69,69,69,69,69,69,69,69,69,69,69
liber-communions-00019,00028,2,10,10.0,69,69,69,69,69,72,72,72,72,72,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67
liber-communions-00020,00028,3,8,8.0,69,69,69,69,69,69,69,65,65,65,65,65,65,62,62,62,62,62,62,65,65,65,65,65,65,64,64,64,64,64,64,65,65,65,65,65,65,62,62,62,62,62,62,60,60,60,60,60,60,60
liber-communions-00021,00028,4,13,13.0,65,65,65,65,67,67,67,67,69,69,69,69,69,69,69,69,71,71,71,72,72,72,72,67,67,67,67,69,69,69,69,67,67,67,65,65,65,65,67,67,67,67,67,67,67,67,65,65,65,65
liber-communions-00022,00028,5,24,24.0,72,72,72,74,74,72,72,72,72,71,71,67,67,69,69,67,67,65,65,65,65,65,65,67,67,65,65,65,65,65,65,62,62,64,64,65,65,64,64,62,62,60,60,62,62,62,62,60,60,60
liber-communions-00023,00028,6,10,10.0,65,65,65,65,65,64,64,64,64,64,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,65,65,65,65,65,65,65,65,65,65,67,67,67,67,67,65,65,65,65,65,65,65,65,65,65
liber-communions-00024,00028,7,19,19.0,65,65,65,62,62,62,64,64,65,65,65,64,64,62,62,62,60,60,60,62,62,62,62,62,60,60,65,65,65,64,64,67,67,67,67,67,67,69,69,65,65,65,67,67,65,65,65,65,65,65
liber-communions-00025,00039,0,22,22.0,69,69,69,72,72,72,72,71,71,72,72,72,69,69,70,70,69,69,65,65,65,65,65,69,69,72,72,71,71,72,72,72,69,69,67,67,67,67,65,65,65,67,67,69,69,69,69,67,67,67
