contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-graduals-00001,00021,0,23,23.0,62,62,62,69,69,69,69,69,69,69,69,70,70,69,69,67,67,67,69,69,67,67,65,65,69,69,70,70,69,69,67,67,69,69,69,70,70,69,69,67,67,69,69,70,70,69,69,69,69,69
liber-graduals-00002,00021,1,30,30.0,69,69,69,69,72,72,72,74,74,72,69,69,67,67,70,69,69,67,69,69,65,65,67,69,69,67,67,67,69,69,67,67,64,65,65,67,65,65,67,67,69,62,62,64,64,65,62,62,62,62
liber-graduals-00003,00021,2,13,13.0,62,62,62,62,65,65,65,65,65,65,65,65,67,67,67,67,65,65,65,64,64,64,64,62,62,62,62,60,60,60,60,62,62,62,62,62,62,62,64,64,64,64,62,62,62,62,62,62,62,62
liber-graduals-00004,00021,3,26,26.0,62,62,69,69,69,69,67,67,67,67,72,72,72,72,72,72,72,74,74,72,72,72,72,71,71,72,72,71,71,69,69,71,71,71,72,72,67,67,67,67,69,69,71,71,72,72,71,71,69,69
liber-graduals-00005,00021,4,26,26.0,65,65,69,69,69,69,67,67,72,72,72,72,69,69,67,67,69,70,70,67,67,64,64,65,65,62,62,65,65,69,69,67,67,69,67,67,64,64,65,65,67,67,65,65,67,67,65,65,62,62
liber-graduals-00006,00021,5,14,14.0,62,62,62,62,62,62,62,62,62,62,62,69,69,69,69,69,69,69,69,69,69,67,67,67,67,69,69,69,65,65,65,65,69,69,69,70,70,70,70,69,69,69,67,67,67,67,69,69,69,69
liber-graduals-00007,00021,6,25,25.0,65,65,67,67,69,69,72,72,71,71,72,72,69,69,72,72,72,72,72,72,67,67,65,65,69,69,72,72,72,72,69,69,72,72,72,72,67,67,72,72,71,71,69,69,71,71,69,69,69,69
liber-graduals-00008,00021,7,19,19.0,69,69,69,72,72,72,69,69,67,67,67,69,69,67,67,67,65,65,65,67,67,69,69,69,69,69,67,67,67,69,69,71,71,71,72,72,72,71,71,69,69,69,69,69,67,67,67,67,67,67
liber-graduals-00009,00021,8,12,12.0,65,65,65,65,65,67,67,67,67,69,69,69,69,67,67,67,67,69,69,69,69,65,65,65,65,67,67,67,67,69,69,69,69,72,72,72,72,71,71,71,71,72,72,72,72,69,69,69,69,69
liber-graduals-00010,00021,9,28,28.0,72,72,72,72,69,69,67,69,69,70,70,67,67,65,67,67,69,69,65,65,62,65,65,64,64,67,67,69,67,67,69,69,69,69,65,69,69,70,70,67,67,65,65,65,62,62,64,64,62,62
liber-graduals-00011,00021,10,26,26.0,69,69,69,69,72,72,72,72,69,69,69,69,69,69,67,67,69,72,72,72,72,72,72,67,67,71,71,69,69,69,69,67,67,67,71,71,72,72,71,71,69,69,69,69,71,71,69,69,69,69
liber-graduals-00012,00021,11,14,14.0,69,69,69,69,69,69,69,72,72,72,72,69,69,69,65,65,65,65,67,67,67,69,69,69,69,65,65,65,67,67,67,67,69,69,69,72,72,72,72,71,71,71,72,72,72,72,69,69,69,69
