contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-graduals-rand-00001,00021,0,18,18.0,69,69,69,67,67,67,69,69,69,70,70,69,69,69,69,69,69,69,69,69,69,69,72,72,72,72,72,72,74,74,72,72,72,69,69,69,67,67,67,70,70,69,69,69,67,67,67,69,69,69
liber-graduals-rand-00002,00021,1,16,16.0,65,65,65,65,67,67,67,69,69,69,67,67,67,67,67,67,69,69,69,67,67,67,64,64,64,65,65,65,67,67,67,65,65,65,67,67,67,69,69,69,62,62,62,64,64,64,65,65,65,65
liber-graduals-rand-00003,00021,2,16,16.0,62,62,62,62,62,62,62,62,62,62,65,65,65,65,65,65,67,67,67,65,65,65,64,64,64,62,62,62,60,60,60,62,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,62,62,62
liber-graduals-rand-00004,00021,3,27,27.0,69,69,69,69,67,67,67,67,72,72,72,72,72,72,72,74,74,72,72,72,71,71,72,72,71,71,69,69,71,71,71,72,72,67,67,67,67,69,69,71,72,72,71,71,69,69,65,65,69,69
liber-graduals-rand-00005,00021,4,21,21.0,69,69,69,67,67,72,72,72,72,72,69,69,67,67,69,69,69,70,70,67,67,64,64,64,65,65,62,62,65,65,65,69,69,67,67,69,69,69,67,67,64,64,65,65,65,67,67,65,65,65
liber-graduals-rand-00006,00021,5,9,9.0,67,67,67,67,67,67,65,65,65,65,65,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
liber-graduals-rand-00007,00021,6,16,16.0,67,67,67,67,69,69,69,65,65,65,69,69,69,70,70,70,69,69,69,67,67,67,69,69,69,65,65,65,67,67,67,69,69,69,72,72,72,71,71,71,72,72,72,69,69,69,72,72,72,72
liber-graduals-rand-00008,00021,7,11,11.0,72,72,72,72,72,72,72,72,72,67,67,67,67,67,65,65,65,65,69,69,69,69,69,72,72,72,72,72,72,72,72,72,69,69,69,69,72,72,72,72,72,72,72,72,72,67,67,67,67,67
liber-graduals-rand-00009,00021,8,17,17.0,72,72,72,71,71,71,69,69,69,71,71,71,69,69,69,69,69,69,69,69,69,72,72,72,69,69,67,67,67,69,69,69,67,67,67,65,65,65,67,67,67,69,69,69,69,69,69,67,67,67
liber-graduals-rand-00010,00021,9,14,14.0,69,69,69,69,71,71,71,72,72,72,72,71,71,71,69,69,69,69,69,69,69,67,67,67,67,67,67,67,65,65,65,65,67,67,67,69,69,69,69,67,67,67,69,69,69,69,65,65,65,65
liber-graduals-rand-00011,00021,10,16,16.0,67,67,67,67,69,69,69,72,72,72,71,71,71,72,72,72,69,69,69,72,72,72,72,72,72,69,69,69,67,67,67,69,69,69,70,70,70,67,67,67,65,65,65,67,67,67,69,69,69,69
liber-graduals-rand-00012,00021,11,18,18.0,65,65,65,62,62,62,65,65,65,64,64,67,67,67,69,69,69,67,67,67,69,69,69,69,69,65,65,65,69,69,70,70,70,67,67,67,65,65,65,65,65,62,62,62,64,64,64,62,62,62
liber-graduals-rand-00013,00021,12,25,25.0,69,69,69,69,72,72,72,72,69,69,69,69,69,69,67,67,69,69,72,72,72,72,72,72,67,67,71,71,69,69,69,69,67,67,67,67,71,71,72,72,71,71,69,69,69,69,71,71,69,69
liber-graduals-rand-00014,00021,13,15,15.0,69,69,69,69,69,69,69,69,69,69,72,72,72,72,69,69,69,65,65,65,67,67,67,69,69,69,69,65,65,65,67,67,67,69,69,69,72,72,72,72,71,71,71,72,72,72,69,69,69,69
liber-graduals-rand-00015,00021,14,19,19.0,72,72,72,72,72,72,69,69,67,67,67,69,69,70,70,70,67,67,67,65,65,69,69,69,65,65,67,67,67,69,69,72,72,72,72,72,72,69,69,67,67,67,69,69,69,69,69,65,65,65
liber-graduals-rand-00016,00021,15,19,19.0,69,69,69,70,70,70,67,67,65,65,65,65,65,62,62,62,64,64,64,62,62,62,62,62,62,62,65,65,65,64,64,62,62,62,65,65,65,64,64,62,62,62,62,62,64,64,64,65,65,65
