contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-hymns-00001,00053,0,16,16.0,67,67,67,67,67,67,67,69,69,69,72,72,72,71,71,71,69,69,69,67,67,67,65,65,65,69,69,69,67,67,67,69,69,69,71,71,71,69,69,69,67,67,67,65,65,65,67,67,67,67
liber-hymns-00002,00053,1,10,10.0,67,67,67,67,67,71,71,71,71,71,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,72,72,72,72,72
liber-hymns-00003,00053,2,10,10.0,72,72,72,72,72,69,69,69,69,69,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67
liber-hymns-00004,00053,3,12,12.0,65,65,65,65,65,69,69,69,69,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,64,64,64,64,65,65,65,65,67,67,67,67,67
liber-hymns-00005,00053,4,16,16.0,67,67,67,67,67,67,67,69,69,69,72,72,72,71,71,71,69,69,69,67,67,67,65,65,65,69,69,69,67,67,67,69,69,69,71,71,71,69,69,69,67,67,67,65,65,65,67,67,67,67
liber-hymns-00006,00053,5,10,10.0,67,67,67,67,67,71,71,71,71,71,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,72,72,72,72,72
liber-hymns-00007,00053,6,10,10.0,72,72,72,72,72,69,69,69,69,69,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67
liber-hymns-00008,00053,7,12,12.0,65,65,65,65,65,69,69,69,69,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,64,64,64,64,65,65,65,65,67,67,67,67,67
liber-hymns-00009,00053,8,16,16.0,67,67,67,67,67,67,67,69,69,69,72,72,72,71,71,71,69,69,69,67,67,67,65,65,65,69,69,69,67,67,67,69,69,69,71,71,71,69,69,69,67,67,67,65,65,65,67,67,67,67
liber-hymns-00010,00053,9,10,10.0,67,67,67,67,67,71,71,71,71,71,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,72,72,72,72,72
liber-hymns-00011,00053,10,10,10.0,72,72,72,72,72,69,69,69,69,69,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,67,67,67,67,67
liber-hymns-00012,00053,11,12,12.0,65,65,65,65,65,69,69,69,69,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,64,64,64,64,65,65,65,65,67,67,67,67,67
