contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-hymns-rand-00001,00053,0,10,10.0,67,67,67,67,67,67,67,67,67,67,71,71,71,71,71,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69
liber-hymns-rand-00002,00053,1,10,10.0,72,72,72,72,72,72,72,72,72,72,69,69,69,69,69,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65
liber-hymns-rand-00003,00053,2,13,13.0,67,67,67,67,65,65,65,65,69,69,69,69,67,67,67,67,69,69,69,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,67,67,67,67,64,64,64,64,65,65,65,65,67,67,67,67
liber-hymns-rand-00004,00053,3,9,9.0,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,72,72,72,72,72,71,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,67,65,65,65,65,65,69,69,69,69,69,69
liber-hymns-rand-00005,00053,4,7,7.0,67,67,67,67,67,67,67,69,69,69,69,69,69,69,71,71,71,71,71,71,71,69,69,69,69,69,69,69,67,67,67,67,67,67,67,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67
liber-hymns-rand-00006,00053,5,12,12.0,67,67,67,67,67,71,71,71,71,72,72,72,72,74,74,74,74,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,69,69,69,69,72,72,72,72,72,72,72,72,69,69,69,69,69
liber-hymns-rand-00007,00053,6,7,7.0,72,72,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69,67,67,67,67,67,67,67,65,65,65,65,65,65,65,65
liber-hymns-rand-00008,00053,7,10,10.0,67,67,67,67,67,65,65,65,65,65,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67
liber-hymns-rand-00009,00053,8,7,7.0,64,64,64,64,64,64,64,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,72,72,72,72,72,72,72,72
liber-hymns-rand-00010,00053,9,15,15.0,71,71,71,71,69,69,69,67,67,67,65,65,65,65,69,69,69,67,67,67,69,69,69,71,71,71,71,69,69,69,67,67,67,65,65,65,67,67,67,67,67,67,67,71,71,71,72,72,72,72
