contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-introits-rand-00001,00005,0,14,14.0,72,72,72,72,72,72,72,67,67,67,67,69,69,69,69,69,69,69,65,65,65,69,69,69,69,72,72,72,72,72,72,72,69,69,69,69,69,69,69,65,65,65,69,69,69,69,69,69,69,69
liber-introits-rand-00002,00005,1,13,13.0,70,70,70,70,69,69,69,69,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,69,69,69,69,67,67,67,67,69,69,69,67,67,67,67,69,69,69,69,67,67,67,67,65,65,65,65
liber-introits-rand-00003,00005,2,13,13.0,65,65,65,65,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69,65,65,65,65,67,67,67,67,70,70,70,70,69,69,69,69,69,69,69,72,72,72,72,69,69,69,69,74,74,74,74
liber-introits-rand-00004,00005,3,23,23.0,72,72,72,72,72,72,72,72,72,69,69,69,69,65,65,65,65,65,67,67,65,65,67,67,69,69,72,72,71,71,71,71,72,72,72,69,69,72,72,71,71,69,69,71,71,72,72,71,71,71
liber-introits-rand-00005,00005,4,17,17.0,69,69,69,67,67,67,69,69,69,71,71,71,69,69,69,67,67,67,69,69,69,69,69,69,67,67,72,72,72,69,69,69,72,72,72,72,72,72,71,71,71,72,72,72,69,69,69,67,67,67
liber-introits-rand-00006,00005,5,7,7.0,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69,69,69,69,65,65,65,65,65,65,65,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
liber-introits-rand-00007,00005,6,13,13.0,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,67,67,67,67,67,67,67,67,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71
liber-introits-rand-00008,00005,7,8,8.0,72,72,72,72,72,72,72,74,74,74,74,74,74,74,74,74,74,74,74,72,72,72,72,72,72,74,74,74,74,74,74,72,72,72,72,72,72,72,72,72,72,72,72,69,69,69,69,69,69,69
liber-introits-rand-00009,00005,8,14,14.0,69,69,69,69,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71,67,67,67,69,69,69,69,72,72,72,71,71,71,71,69,69,69,69
liber-introits-rand-00010,00005,9,11,11.0,67,67,67,67,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67,67,67,67,67,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
liber-introits-rand-00011,00023,0,12,12.0,76,76,76,76,76,74,74,74,74,74,74,74,74,72,72,72,72,72,72,72,72,69,69,69,69,71,71,71,71,72,72,72,72,67,67,67,67,69,69,69,69,67,67,67,67,67,67,67,67,67
liber-introits-rand-00012,00023,1,16,16.0,67,67,67,67,69,69,69,72,72,72,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,69,69,69,72,72,72,72,72,72,72,72,72,71,71,71,72,72,72,74,74,74,74
liber-introits-rand-00013,00023,2,15,15.0,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,69,69,69,72,72,72,71,71,71,71,72,72,72,71,71,71,71,71,71,72,72,72,72,74,74,74,74,74,74,74,74,74,74
liber-introits-rand-00014,00023,3,10,10.0,76,76,76,76,76,72,72,72,72,72,69,69,69,69,69,71,71,71,71,71,72,72,72,72,72,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71
liber-introits-rand-00015,00023,4,11,11.0,72,72,72,72,72,72,72,72,72,76,76,76,76,76,74,74,74,74,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,67,67,67,67,67,71,71,71,71,72,72,72,72,72
liber-introits-rand-00016,00023,5,14,14.0,69,69,69,69,69,69,69,65,65,65,65,65,65,65,67,67,67,67,67,67,67,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,71,71,71,71,72,72,72,72
liber-introits-rand-00017,00023,6,10,10.0,74,74,74,74,74,74,74,74,74,74,72,72,72,72,72,72,72,72,72,72,69,69,69,69,69,71,71,71,71,71,72,72,72,72,72,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69
liber-introits-rand-00018,00023,7,15,15.0,67,67,67,67,67,67,67,67,67,67,72,72,72,72,71,71,71,72,72,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,77,77,77,76,76,76,76,76,76,76
liber-introits-rand-00019,00023,8,13,13.0,76,76,76,76,74,74,74,74,74,74,74,74,76,76,76,76,74,74,74,71,71,71,71,72,72,72,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76,76,76,76,77,77,77,77
liber-introits-rand-00020,00023,9,9,9.0,74,74,74,74,74,74,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,72,72,72,72,72,72
liber-introits-rand-00021,00023,10,15,15.0,71,71,71,71,72,72,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76,76,76,77,77,77,74,74,74,72,72,72,72,72,72,72,72,72,72,72,72,72,72
liber-introits-rand-00022,00025,0,17,17.0,65,65,65,65,65,65,69,69,69,67,67,67,65,65,65,65,65,65,65,65,65,62,62,62,65,65,67,67,67,67,67,67,70,70,70,69,69,69,67,67,67,65,65,65,65,65,65,65,65,65
liber-introits-rand-00023,00025,1,16,16.0,64,64,64,64,65,65,65,67,67,67,67,67,67,65,65,65,65,65,65,67,67,67,65,65,65,65,65,65,62,62,62,64,64,64,62,62,62,62,62,62,65,65,65,67,67,67,67,67,67,67
liber-introits-rand-00024,00025,2,11,11.0,69,69,69,69,69,65,65,65,65,65,65,65,65,65,67,67,67,67,65,65,65,65,65,62,62,62,62,62,62,62,62,62,60,60,60,60,62,62,62,62,62,60,60,60,60,65,65,65,65,65
liber-introits-rand-00025,00025,3,11,11.0,65,65,65,65,65,65,65,65,65,69,69,69,69,69,67,67,67,67,65,65,65,65,65,65,65,65,65,62,62,62,62,62,65,65,65,65,65,65,65,65,65,64,64,64,64,65,65,65,65,65
