contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-kyries-00001,00031,0,7,7.0,72,72,72,72,72,72,72,71,71,71,71,71,71,71,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,65,65,69,69,69,69,69,69,69,69
liber-kyries-00002,00031,1,10,10.0,72,72,72,72,72,71,71,71,71,71,67,67,67,67,67,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,69,69,69,69,69,69,69,69,69,69,62,62,62,62,62
liber-kyries-00003,00031,2,9,9.0,62,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,65,67,67,67,67,67,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62
liber-kyries-00004,00031,3,12,12.0,62,62,62,62,62,64,64,64,64,65,65,65,65,67,67,67,67,69,69,69,69,69,69,69,69,67,67,67,67,69,69,69,69,65,65,65,65,69,69,69,69,69,69,69,69,67,67,67,67,67
liber-kyries-00009,00037,0,16,16.0,67,67,67,67,69,69,69,71,71,71,67,67,67,74,74,74,72,72,72,71,71,71,69,69,69,67,67,67,69,69,69,67,67,67,69,69,69,71,71,71,69,69,69,69,69,69,67,67,67,67
liber-kyries-00010,00071,0,15,15.0,67,67,67,67,69,69,69,67,67,67,65,65,65,65,67,67,67,69,69,69,67,67,67,72,72,72,72,72,72,72,67,67,67,69,69,69,71,71,71,71,69,69,69,67,67,67,67,67,67,67
liber-kyries-00011,00071,1,15,15.0,67,67,67,67,69,69,69,67,67,67,65,65,65,65,62,62,62,64,64,64,65,65,65,67,67,67,67,65,65,65,67,67,67,67,67,67,69,69,69,69,69,69,69,67,67,67,65,65,65,65
liber-kyries-00012,00071,2,12,12.0,69,69,69,69,69,72,72,72,72,72,72,72,72,71,71,71,71,69,69,69,69,67,67,67,67,69,69,69,69,67,67,67,67,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67
liber-kyries-00013,00071,3,10,10.0,67,67,67,67,67,69,69,69,69,69,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,69,69,69,69,69,67,67,67,67,67,69,69,69,69,69,71,71,71,71,71,67,67,67,67,67
liber-kyries-00014,00071,4,9,9.0,69,69,69,69,69,69,67,67,67,67,67,65,65,65,65,65,65,64,64,64,64,64,65,65,65,65,65,65,67,67,67,67,67,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67
