contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-offertories-rand-00001,00026,0,19,19.0,67,67,67,65,65,65,69,69,72,72,72,72,72,69,69,69,72,72,72,76,76,74,74,74,72,72,72,72,72,71,71,72,72,72,72,72,72,72,72,69,69,69,72,72,67,67,67,65,65,65
liber-offertories-rand-00002,00026,1,16,16.0,67,67,67,67,62,62,62,65,65,65,65,65,65,67,67,67,69,69,69,72,72,72,69,69,69,71,71,71,72,72,72,65,65,65,65,65,65,67,67,67,65,65,65,65,65,65,65,65,65,65
liber-offertories-rand-00003,00026,2,17,17.0,67,67,67,65,65,65,67,67,67,69,69,69,71,71,71,72,72,72,71,71,71,69,69,69,69,69,71,71,71,69,69,69,69,69,69,69,69,69,67,67,67,67,67,67,70,70,70,69,69,69
liber-offertories-rand-00004,00026,3,28,28.0,67,67,69,69,67,67,67,65,65,67,67,69,69,65,67,67,69,69,72,72,72,74,74,72,72,69,69,72,72,72,72,72,69,69,72,74,74,72,72,69,69,69,71,71,69,69,65,65,67,67
liber-offertories-rand-00005,00026,4,21,21.0,69,69,69,72,72,74,74,76,76,76,74,74,76,76,74,74,74,72,72,72,72,74,74,74,76,76,74,74,72,72,72,74,74,74,74,72,72,72,72,72,72,72,71,71,71,72,72,71,71,71
liber-offertories-rand-00006,00026,5,18,18.0,69,69,69,71,71,71,71,71,71,69,69,69,69,69,69,69,69,67,67,67,69,69,72,72,72,67,67,67,69,69,67,67,67,65,65,65,67,67,67,67,67,65,65,65,65,65,65,69,69,69
liber-offertories-rand-00007,00026,6,10,10.0,67,67,67,67,67,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,74,74,74,74,72,72,72,72,72,74,74,74,74,74,71,71,71,71,71,72,72,72,72,72,69,69,69,69,69
liber-offertories-rand-00008,00047,0,18,18.0,71,71,71,69,69,69,71,71,71,67,67,69,69,69,64,64,64,65,65,65,64,64,62,62,62,64,64,64,64,64,62,62,62,62,62,62,64,64,64,67,67,69,69,69,67,67,67,69,69,69
liber-offertories-rand-00009,00047,1,14,14.0,69,69,69,69,71,71,71,74,74,74,74,74,74,74,71,71,71,71,72,72,72,74,74,74,74,69,69,69,67,67,67,67,71,71,71,69,69,69,69,69,69,69,72,72,72,72,72,72,72,72
liber-offertories-rand-00010,00047,2,17,17.0,72,72,72,71,71,71,72,72,72,72,72,72,72,72,72,69,69,69,69,69,69,72,72,72,72,72,69,69,69,69,69,69,69,69,69,67,67,67,69,69,69,69,69,69,72,72,72,72,72,72
liber-offertories-rand-00011,00047,3,19,19.0,72,72,72,72,72,72,69,69,74,74,74,72,72,72,72,72,69,69,69,69,69,71,71,71,69,69,67,67,67,69,69,67,67,67,69,69,69,71,71,72,72,72,72,72,72,72,72,71,71,71
