contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-responsories-rand-00001,00376,0,14,14.0,64,64,64,64,65,65,65,67,67,67,67,67,67,67,65,65,65,65,62,62,62,65,65,65,65,64,64,64,62,62,62,62,65,65,65,65,65,65,65,62,62,62,62,62,62,62,62,62,62,62
liber-responsories-rand-00002,00376,1,12,12.0,64,64,64,64,64,60,60,60,60,62,62,62,62,62,62,62,62,67,67,67,67,67,67,67,67,67,67,67,67,65,65,65,65,65,65,65,65,64,64,64,64,62,62,62,62,60,60,60,60,60
liber-responsories-rand-00003,00376,2,12,12.0,62,62,62,62,62,64,64,64,64,65,65,65,65,64,64,64,64,60,60,60,60,62,62,62,62,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,64,64,64,64,65,65,65,65,65
liber-responsories-rand-00004,00376,3,22,22.0,67,67,67,67,67,65,65,64,64,64,64,64,67,67,69,69,70,70,67,67,67,65,65,64,64,65,65,62,62,62,62,62,64,64,62,62,60,60,62,62,62,64,64,65,65,64,64,62,62,62
liber-responsories-rand-00005,00376,4,16,16.0,69,69,69,69,69,69,69,67,67,67,69,69,69,65,65,65,67,67,67,69,69,69,70,70,70,67,67,67,65,65,65,64,64,64,62,62,62,64,64,64,62,62,62,62,62,62,69,69,69,69
liber-responsories-rand-00006,00376,5,7,7.0,69,69,69,69,69,69,69,67,67,67,67,67,67,67,69,69,69,69,69,69,69,72,72,72,72,72,72,72,71,71,71,71,71,71,71,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
liber-responsories-rand-00007,00376,6,13,13.0,69,69,69,69,67,67,67,67,65,65,65,65,64,64,64,64,62,62,62,64,64,64,64,65,65,65,65,67,67,67,67,64,64,64,65,65,65,65,64,64,64,64,60,60,60,60,62,62,62,62
liber-responsories-rand-00008,00376,7,8,8.0,62,62,62,62,62,62,62,60,60,60,60,60,60,65,65,65,65,65,65,64,64,64,64,64,64,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,60,60,60,60,60,60,60
liber-responsories-rand-00009,00376,8,13,13.0,62,62,62,62,64,64,64,64,65,65,65,65,64,64,64,64,62,62,62,65,65,65,65,64,64,64,64,65,65,65,65,64,64,64,62,62,62,62,64,64,64,64,62,62,62,62,62,62,62,62
liber-responsories-rand-00010,00376,9,10,10.0,60,60,60,60,60,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,60,60,60,60,60,60,60,60,60,60,64,64,64,64,64,65,65,65,65,65
liber-responsories-rand-00011,00376,10,13,13.0,67,67,67,67,65,65,65,65,64,64,64,64,65,65,65,65,64,64,64,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,62,60,60,60,60,64,64,64,64
liber-responsories-rand-00012,00376,11,14,14.0,67,67,67,67,67,67,67,64,64,64,64,65,65,65,64,64,64,64,60,60,60,62,62,62,62,62,62,62,60,60,60,60,62,62,62,62,62,62,62,64,64,64,65,65,65,65,67,67,67,67
liber-responsories-rand-00013,00376,12,20,20.0,67,67,67,65,65,64,64,64,64,64,67,67,67,69,69,70,70,70,67,67,65,65,65,64,64,65,65,62,62,62,62,62,64,64,64,62,62,60,60,60,62,62,64,64,64,65,65,64,64,64
liber-responsories-rand-00014,00376,13,11,11.0,62,62,62,62,62,65,65,65,65,64,64,64,64,64,65,65,65,65,62,62,62,62,62,64,64,64,64,62,62,62,62,62,60,60,60,60,62,62,62,62,62,64,64,64,64,62,62,62,62,62
liber-responsories-rand-00015,00376,14,15,15.0,62,62,62,62,64,64,64,65,65,65,67,67,67,67,67,67,67,69,69,69,67,67,67,65,65,65,65,62,62,62,65,65,65,67,67,67,65,65,65,65,65,65,65,64,64,64,65,65,65,65
liber-responsories-rand-00016,00376,15,15,15.0,67,67,67,67,65,65,65,65,65,65,64,64,64,64,62,62,62,60,60,60,62,62,62,65,65,65,65,64,64,64,62,62,62,60,60,60,62,62,62,62,69,69,69,69,69,69,67,67,67,67
liber-responsories-rand-00017,00376,16,10,10.0,69,69,69,69,69,65,65,65,65,65,67,67,67,67,67,69,69,69,69,69,70,70,70,70,70,67,67,67,67,67,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,64,64,64,64,64
liber-responsories-rand-00018,00376,17,11,11.0,62,62,62,62,62,62,62,62,62,69,69,69,69,69,69,69,69,69,67,67,67,67,67,69,69,69,69,72,72,72,72,72,71,71,71,71,67,67,67,67,67,67,67,67,67,69,69,69,69,69
liber-responsories-rand-00019,00376,18,14,14.0,67,67,67,67,65,65,65,64,64,64,64,62,62,62,64,64,64,64,65,65,65,67,67,67,67,64,64,64,65,65,65,65,64,64,64,60,60,60,60,62,62,62,62,62,62,62,60,60,60,60
liber-responsories-rand-00020,00376,19,10,10.0,65,65,65,65,65,64,64,64,64,64,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,60,60,60,60,60,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,64,64,64,64,64
liber-responsories-rand-00021,00376,20,15,15.0,62,62,62,62,65,65,65,64,64,64,65,65,65,65,62,62,62,64,64,64,62,62,62,62,62,62,62,64,64,64,65,65,65,67,67,67,67,67,67,67,65,65,65,62,62,62,60,60,60,60
liber-responsories-rand-00022,00376,21,13,13.0,60,60,60,60,65,65,65,65,69,69,69,69,69,69,69,69,67,67,67,65,65,65,65,67,67,67,67,65,65,65,65,64,64,64,62,62,62,62,62,62,62,62,60,60,60,60,64,64,64,64
liber-responsories-rand-00023,00513,0,9,9.0,60,60,60,60,60,60,62,62,62,62,62,64,64,64,64,64,64,65,65,65,65,65,67,67,67,67,67,67,64,64,64,64,64,65,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,62
liber-responsories-rand-00024,00513,1,17,17.0,62,62,62,64,64,64,65,65,65,64,64,64,62,62,62,64,64,64,64,64,64,62,62,62,65,65,65,65,65,65,65,65,64,64,64,67,67,67,65,65,65,67,67,67,64,64,64,65,65,65
liber-responsories-rand-00025,00513,2,17,17.0,64,64,64,62,62,62,64,64,64,64,64,64,62,62,62,62,62,62,64,64,64,65,65,65,64,64,62,62,62,60,60,60,62,62,62,65,65,65,64,64,64,65,65,65,67,67,67,65,65,65
liber-responsories-rand-00026,00513,3,16,16.0,65,65,65,65,64,64,64,62,62,62,64,64,64,62,62,62,60,60,60,60,60,60,62,62,62,62,62,62,65,65,65,62,62,62,64,64,64,65,65,65,60,60,60,57,57,57,58,58,58,58
liber-responsories-rand-00027,00513,4,11,11.0,57,57,57,57,57,60,60,60,60,58,58,58,58,58,57,57,57,57,58,58,58,58,58,57,57,57,57,55,55,55,55,55,57,57,57,57,55,55,55,55,55,62,62,62,62,62,62,62,62,62
liber-responsories-rand-00028,00513,5,11,11.0,65,65,65,65,65,64,64,64,64,60,60,60,60,60,62,62,62,62,64,64,64,64,64,65,65,65,65,67,67,67,67,67,64,64,64,64,65,65,65,65,65,64,64,64,64,62,62,62,62,62
liber-responsories-rand-00029,00513,6,11,11.0,62,62,62,62,62,64,64,64,64,65,65,65,65,65,64,64,64,64,62,62,62,62,62,64,64,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,62,62,62,62,60,60,60,60,60
liber-responsories-rand-00030,00513,7,14,14.0,62,62,62,62,65,65,65,65,65,65,65,67,67,67,65,65,65,65,65,65,65,67,67,67,67,69,69,69,67,67,67,67,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
liber-responsories-rand-00031,00513,8,13,13.0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,65,65,65,65,67,67,67,67
liber-responsories-rand-00032,00513,9,11,11.0,64,64,64,64,64,65,65,65,65,62,62,62,62,62,62,62,62,62,64,64,64,64,64,65,65,65,65,64,64,64,64,64,64,64,64,64,62,62,62,62,62,62,62,62,62,60,60,60,60,60
liber-responsories-rand-00033,00513,10,11,11.0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,60,60,60,60,62,62,62,62,62,64,64,64,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62
liber-responsories-rand-00034,00513,11,14,14.0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,64,65,65,65,64,64,64,64,62,62,62,60,60,60,60,62,62,62,65,65,65,65,64,64,64,65,65,65,65,67,67,67,67
liber-responsories-rand-00035,00513,12,17,17.0,65,65,65,65,65,65,64,64,64,62,62,62,64,64,64,62,62,62,60,60,60,60,60,60,62,62,60,60,60,62,62,62,65,65,65,65,65,65,67,67,67,65,65,65,65,65,65,65,65,65
liber-responsories-rand-00036,00513,13,15,15.0,64,64,64,64,65,65,65,67,67,67,64,64,64,64,65,65,65,62,62,62,62,62,62,64,64,64,64,65,65,65,64,64,64,64,64,64,62,62,62,62,62,62,62,60,60,60,62,62,62,62
liber-responsories-rand-00037,00513,14,10,10.0,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,64,64,64,64,64,62,62,62,62,62,60,60,60,60,60,62,62,62,62,62,65,65,65,65,65,64,64,64,64,64,65,65,65,65,65
liber-responsories-rand-00038,00606,0,15,15.0,60,60,60,60,62,62,62,65,65,65,64,64,64,64,65,65,65,64,64,64,62,62,62,60,60,60,60,62,62,62,64,64,64,62,62,62,64,64,64,64,65,65,65,67,67,67,64,64,64,64
liber-responsories-rand-00039,00606,1,17,17.0,65,65,65,64,64,64,62,62,62,64,64,64,65,65,65,64,64,64,62,62,62,64,64,64,64,64,62,62,62,65,65,65,67,67,67,69,69,69,69,69,69,67,67,67,67,67,67,64,64,64
liber-responsories-rand-00040,00606,2,18,18.0,65,65,65,67,67,67,65,65,65,67,67,64,64,64,65,65,65,64,64,64,62,62,64,64,64,64,64,64,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,62,62,62,62,64,64,64
liber-responsories-rand-00041,00606,3,15,15.0,62,62,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,64,64,64,65,65,65,64,64,64,64,62,62,62,60,60,60,62,62,62,65,65,65,65,64,64,64,65,65,65,67,67,67,67
liber-responsories-rand-00042,00606,4,21,21.0,65,65,65,65,65,64,64,62,62,62,64,64,62,62,60,60,60,60,60,62,62,65,65,65,65,65,65,65,64,64,64,62,62,62,62,64,64,64,65,65,67,67,65,65,65,64,64,65,65,65
liber-responsories-rand-00043,00606,5,12,12.0,67,67,67,67,67,65,65,65,65,67,67,67,67,67,67,67,67,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,65,65,65,65,65,65,65,65,64,64,64,64,65,65,65,65,65
liber-responsories-rand-00044,00606,6,15,15.0,64,64,64,64,62,62,62,60,60,60,62,62,62,62,64,64,64,62,62,62,62,62,62,65,65,65,65,62,62,62,64,64,64,65,65,65,64,64,64,64,62,62,62,64,64,64,65,65,65,65
liber-responsories-rand-00045,00606,7,14,14.0,64,64,64,64,62,62,62,64,64,64,64,64,64,64,62,62,62,62,60,60,60,62,62,62,62,65,65,65,65,65,65,65,67,67,67,65,65,65,65,65,65,65,67,67,67,67,69,69,69,69
liber-responsories-rand-00046,00606,8,8,8.0,67,67,67,67,67,67,67,65,65,65,65,65,65,67,67,67,67,67,67,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
liber-responsories-rand-00047,00606,9,14,14.0,67,67,67,67,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,65,65,65,65,67,67,67,64,64,64,64,65,65,65,62,62,62,62,62,62,62,64,64,64,64,65,65,65,65
