contour_id,song_id,phrase_num,phrase_length,phrase_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
liber-tracts-rand-00001,00018,0,19,19.0,60,60,60,62,62,62,65,65,64,64,64,65,65,64,64,64,60,60,60,62,62,64,64,64,62,62,64,64,64,62,62,60,60,60,64,64,64,64,64,62,62,62,64,64,65,65,65,67,67,67
liber-tracts-rand-00002,00018,1,17,17.0,62,62,62,62,62,62,60,60,60,60,60,60,60,60,60,64,64,64,65,65,65,62,62,62,62,62,62,62,62,60,60,60,62,62,62,64,64,64,65,65,65,67,67,67,65,65,65,64,64,64
liber-tracts-rand-00003,00018,2,17,17.0,65,65,65,67,67,67,67,67,67,65,65,65,60,60,60,62,62,62,60,60,60,65,65,65,64,64,65,65,65,67,67,67,65,65,65,65,65,65,64,64,64,62,62,62,62,62,62,64,64,64
liber-tracts-rand-00004,00018,3,29,29.0,64,64,62,62,62,62,60,62,62,65,65,67,65,65,65,65,62,64,64,65,65,64,64,64,62,62,65,65,67,65,65,65,65,64,67,67,69,69,67,67,67,64,64,65,67,67,64,64,65,65
liber-tracts-rand-00005,00018,4,22,22.0,62,62,62,62,62,65,65,65,65,69,69,69,70,70,67,67,67,67,64,64,64,67,67,69,69,65,65,65,65,62,62,62,60,60,62,62,65,65,65,65,65,67,67,69,69,67,67,69,69,69
liber-tracts-rand-00006,00018,5,10,10.0,65,65,65,65,65,69,69,69,69,69,70,70,70,70,70,67,67,67,67,67,65,65,65,65,65,65,65,65,65,65,62,62,62,62,62,67,67,67,67,67,65,65,65,65,65,65,65,65,65,65
liber-tracts-rand-00007,00018,6,17,17.0,62,62,62,62,62,62,60,60,60,60,60,60,65,65,65,65,65,65,64,64,64,60,60,60,64,64,65,65,65,67,67,67,65,65,65,65,65,65,64,64,64,62,62,62,62,62,62,64,64,64
liber-tracts-rand-00008,00018,7,12,12.0,64,64,64,64,64,62,62,62,62,65,65,65,65,67,67,67,67,67,67,67,67,69,69,69,69,67,67,67,67,65,65,65,65,67,67,67,67,69,69,69,69,67,67,67,67,69,69,69,69,69
liber-tracts-rand-00009,00018,8,18,18.0,70,70,70,67,67,67,65,65,65,69,69,67,67,67,69,69,69,70,70,70,67,67,65,65,65,69,69,69,69,69,67,67,67,69,69,69,67,67,67,65,65,69,69,69,69,69,69,67,67,67
liber-tracts-rand-00010,00018,9,15,15.0,69,69,69,69,67,67,67,65,65,65,69,69,69,69,67,67,67,69,69,69,67,67,67,67,67,67,67,62,62,62,65,65,65,65,65,65,64,64,64,64,62,62,62,65,65,65,65,65,65,65
